line_id,fabric_type,total_inspections,total_defects,avg_gsm,total_scrap_cost,defect_rate_pct
Line-1,Cotton,33,33,182.6030303030303,1182.5,100.0
Line-1,Denim,33,33,181.3121212121212,1022.5,100.0
Line-1,Linen,41,41,182.0439024390244,1340.0,100.0
Line-1,Polyester Blend,29,29,185.2448275862069,990.0,100.0
Line-2,Cotton,30,30,180.75666666666666,1182.5,100.0
Line-2,Denim,39,39,181.1,1187.5,100.0
Line-2,Linen,31,31,182.30645161290323,1520.0,100.0
Line-2,Polyester Blend,30,30,175.02333333333334,1357.5,100.0
Line-3,Cotton,44,44,185.0659090909091,1602.5,100.0
Line-3,Denim,30,30,180.82000000000002,1030.0,100.0
Line-3,Linen,35,35,176.1942857142857,1855.0,100.0
Line-3,Polyester Blend,37,37,180.77297297297298,1255.0,100.0
