inspection_id,timestamp,batch_id,line_id,fabric_type,gsm,tensile_strength,defect_count,defect_type,is_defective,scrap_cost_usd
INS-1000,2026-09-01 00:00:00,BATCH-C,Line-2,Denim,166.3,44.86,0,Broken Yarn,1,0.0
INS-1001,2026-09-01 00:15:00,BATCH-D,Line-3,Cotton,175.8,43.9,0,None,0,0.0
INS-1002,2026-09-01 00:30:00,BATCH-A,Line-1,Cotton,193.0,42.03,6,Broken Yarn,1,150.0
INS-1003,2026-09-01 00:45:00,BATCH-C,Line-1,Cotton,191.5,40.17,2,None,0,80.0
INS-1004,2026-09-01 01:00:00,BATCH-C,Line-1,Polyester Blend,191.6,49.06,1,Broken Yarn,1,12.5
INS-1005,2026-09-01 01:15:00,BATCH-D,Line-1,Denim,162.7,51.69,0,None,0,0.0
INS-1006,2026-09-01 01:30:00,BATCH-A,Line-1,Cotton,176.5,52.41,0,None,0,0.0
INS-1007,2026-09-01 01:45:00,BATCH-A,Line-1,Denim,174.1,42.59,3,None,0,120.0
INS-1008,2026-09-01 02:00:00,BATCH-C,Line-1,Polyester Blend,186.4,49.27,0,None,0,0.0
INS-1009,2026-09-01 02:15:00,BATCH-B,Line-2,Cotton,185.0,46.18,2,None,0,25.0
INS-1010,2026-09-01 02:30:00,BATCH-C,Line-3,Linen,182.3,42.15,1,Broken Yarn,1,12.5
INS-1011,2026-09-01 02:45:00,BATCH-C,Line-1,Polyester Blend,217.0,48.67,3,Stain,1,37.5
INS-1012,2026-09-01 03:00:00,BATCH-C,Line-2,Linen,175.6,41.92,2,Stain,1,80.0
INS-1013,2026-09-01 03:15:00,BATCH-C,Line-2,Denim,173.9,43.12,0,Crease,1,0.0
INS-1014,2026-09-01 03:30:00,BATCH-D,Line-3,Denim,162.6,38.12,1,None,0,12.5
INS-1015,2026-09-01 03:45:00,BATCH-A,Line-1,Polyester Blend,156.9,42.68,3,None,0,37.5
INS-1016,2026-09-01 04:00:00,BATCH-D,Line-3,Denim,161.7,46.27,3,None,0,75.0
INS-1017,2026-09-01 04:15:00,BATCH-D,Line-1,Linen,169.2,52.84,2,Broken Yarn,1,50.0
INS-1018,2026-09-01 04:30:00,BATCH-D,Line-2,Cotton,199.7,43.23,1,None,0,12.5
INS-1019,2026-09-01 04:45:00,BATCH-C,Line-2,Cotton,180.6,39.81,1,Stain,1,12.5
INS-1020,2026-09-01 05:00:00,BATCH-B,Line-2,Cotton,182.9,52.49,1,None,0,25.0
INS-1021,2026-09-01 05:15:00,BATCH-A,Line-2,Polyester Blend,178.6,42.48,4,Crease,1,100.0
INS-1022,2026-09-01 05:30:00,BATCH-B,Line-3,Denim,185.5,36.26,0,Crease,1,0.0
INS-1023,2026-09-01 05:45:00,BATCH-D,Line-1,Linen,201.0,45.67,0,None,0,0.0
INS-1024,2026-09-01 06:00:00,BATCH-D,Line-1,Denim,150.1,43.38,2,None,0,80.0
INS-1025,2026-09-01 06:15:00,BATCH-B,Line-3,Denim,198.3,56.5,1,Broken Yarn,1,12.5
